ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
2019-01;FMCZ;MAYOTTE-MARCEL HENRY;OM;33406;12577;18403;376;24,8;180,2;398;0
2019-01;FMEE;LA REUNION-ROLAND GARROS;OM;263652;108351;125068;3810;872,6;1769,7;1148;19
2019-01;FMEP;ST-PIERRE-PIERREFONDS;OM;11370;4985;6380;0;0;0,5;180;0
2019-01;LFAQ;ALBERT-BRAY;MT;1709;128;122;0;81,3;64,6;68;13
2019-01;LFBA;AGEN-LA GARENNE;MT;1275;706;569;0;0;0;96;0
2019-01;LFBD;BORDEAUX-MERIGNAC;MT;432388;211778;207210;2360;425,7;678,4;4085;131
2019-01;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;6090;3321;2769;0;0;0;61;0
2019-01;LFBH;LA ROCHELLE-ILE DE RE;MT;5166;2666;2500;0;0;0;155;0
2019-01;LFBI;POITIERS-BIARD;MT;7352;2842;2629;1881;0;0;218;0
2019-01;LFBL;LIMOGES-BELLEGARDE;MT;15420;8081;7339;0;0;0;214;0
2019-01;LFBO;TOULOUSE-BLAGNAC;MT;741231;338067;336129;1352;2467,9;4100,4;6279;530
2019-01;LFBP;PAU-PYRENEES;MT;45075;22881;21466;4;54,6;17,8;780;4
2019-01;LFBT;TARBES-LOURDES-PYRENEES;MT;12073;6387;5686;0;0;0;190;0
2019-01;LFBZ;BIARRITZ-PAYS-BASQUE;MT;58438;30408;28030;0;0;0;602;0
2019-01;LFCK;CASTRES-MAZAMET;MT;3361;1771;1590;0;0;0;118;0
2019-01;LFCR;RODEZ-AVEYRON;MT;3774;1995;1779;0;0;0;145;0
2019-01;LFGJ;DOLE-TAVAUX;MT;8122;4045;4077;0;0;0;70;0
2019-01;LFJL;METZ-NANCY-LORRAINE;MT;14362;6952;7319;91;0;0;382;0
2019-01;LFKB;BASTIA-PORETTA;MT;64354;29949;28722;0;152;416,3;644;106
2019-01;LFKC;CALVI-STE-CATHERINE;MT;8025;4278;3745;0;0;0,2;192;0
2019-01;LFKF;FIGARI-SUD-CORSE;MT;12257;6294;5963;0;0;0;254;0
2019-01;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;62328;29188;27307;0;192;391,3;608;85
2019-01;LFLB;CHAMBERY-AIX-LES-BAINS;MT;52038;26146;25151;0;74,1;0;1273;0
2019-01;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;32394;15017;14426;259;269,1;0;676;10
2019-01;LFLJ;COURCHEVEL;MT;1184;616;568;0;0;0;673;0
2019-01;LFLL;LYON-ST-EXUPERY;MT;841620;387216;401101;4585;2380,7;2491,1;8151;368
2019-01;LFLS;GRENOBLE-ALPES-ISERE;MT;65435;32456;32958;21;0;0;666;0
2019-01;LFLW;AURILLAC;MT;2278;1267;1011;0;0;0;84;0
2019-01;LFMK;CARCASSONNE-SALVAZA;MT;15196;7581;7615;0;0;0;111;0
2019-01;LFML;MARSEILLE-PROVENCE;MT;688213;311223;321830;5097;2384,5;2621,9;6445;630
2019-01;LFMN;NICE-COTE D'AZUR;MT;766932;380903;377687;1711;445,4;217,8;8550;36
2019-01;LFMP;PERPIGNAN-RIVESALTES;MT;26660;13635;13025;0;0;0;299;0
2019-01;LFMT;MONTPELLIER-MEDITERRANEE;MT;133369;63344;64202;136;278,1;290,7;1270;86
2019-01;LFMU;BEZIERS-VIAS;MT;6615;3355;3260;0;0;0;55;0
2019-01;LFOB;BEAUVAIS-TILLE;MT;292394;139997;152389;0;0;0,8;1883;0
2019-01;LFOK;CHALONS-VATRY;MT;6367;2519;2849;0;13,5;86,4;51;5
2019-01;LFOT;TOURS-VAL DE LOIRE;MT;13964;7025;6938;1;0;0;102;0
2019-01;LFPB;PARIS-LE BOURGET;MT;7297;3608;3689;0;0;0;3495;0
2019-01;LFPG;PARIS-CHARLES DE GAULLE;MT;7034619;2672357;2695719;2326;85542,1;80879,6;35002;2554
2019-01;LFPO;PARIS-ORLY;MT;2448099;1156683;1218881;94;4724;2520,1;17121;2
2019-01;LFQQ;LILLE-LESQUIN;MT;104880;51804;52666;401;0,9;0;1291;2
2019-01;LFRB;BREST-BRETAGNE;MT;79980;40957;37703;886;22,6;20,8;1064;43
2019-01;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;3391;1880;1511;0;0;0;50;0
2019-01;LFRG;DEAUVILLE-NORMANDIE;MT;2266;910;1019;337;0;0;47;0
2019-01;LFRH;LORIENT-LANN-BIHOUE;MT;10238;5279;4959;0;0;0;310;0
2019-01;LFRK;CAEN-CARPIQUET;MT;16122;8069;8052;1;0;0;364;0
2019-01;LFRN;RENNES-ST-JACQUES;MT;61397;27956;26658;14;237,3;439,6;991;124
2019-01;LFRQ;QUIMPER-PLUGUFFAN;MT;4566;2555;2011;0;0;0;129;0
2019-01;LFRS;NANTES-ATLANTIQUE;MT;388025;190235;187649;3156;269,6;428,9;3915;77
2019-01;LFRZ;ST-NAZAIRE-MONTOIR;MT;18978;597;639;155;1162,6;596,1;68;83
2019-01;LFSB;BALE-MULHOUSE;MT;553618;239439;263662;163;2914,1;2121,3;4617;442
2019-01;LFSL;BRIVE-SOUILLAC;MT;3981;2147;1834;0;0;0;140;0
2019-01;LFST;STRASBOURG-ENTZHEIM;MT;78906;38845;39830;163;2,7;4,1;1282;1
2019-01;LFTH;TOULON-HYERES;MT;32722;17112;15610;0;0;0;529;0
2019-01;LFTW;NIMES-GARONS;MT;13845;7121;6724;0;0;0;98;0
2019-01;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2396;1130;1109;0;1,8;13,9;208;0
2019-01;NLWF;FUTUNA;OM;1087;551;509;0;0,9;1,7;107;0
2019-01;NLWW;WALLIS-HIHIFO;OM;4297;2107;2009;0;2,6;15,5;133;0
2019-01;NTAA;TAHITI FAA'A;OM;120610;48535;61020;898;434;581,7;1737;3
2019-01;NTAR;RURUTU;OM;2115;1093;612;367;0;4,3;50;0
2019-01;NTAT;TUBUAI MATAURA;OM;2168;921;618;589;0,1;3,9;51;1
2019-01;NTAV;RAIVAVAE;OM;1026;515;274;216;0,1;2;26;0
2019-01;NTGC;TIKEHAU;OM;3063;1122;769;1136;0;3,5;90;0
2019-01;NTGF;FAKARAVA;OM;2025;990;700;293;0;4,2;56;0
2019-01;NTGM;MAKEMO;OM;1042;312;360;312;0,2;5,6;40;0
2019-01;NTGU;ARUTUA;OM;1123;566;378;141;0,2;3,6;34;0
2019-01;NTMD;NUKU HIVA;OM;3559;1520;1367;604;1,5;5,3;136;2
2019-01;NTMN;HIVA OA-ATUONA;OM;3117;1241;1224;596;0,3;5,3;120;0
2019-01;NTTB;BORA BORA;OM;21776;10751;9076;1794;3,3;12,2;535;8
2019-01;NTTG;RANGIROA;OM;5963;2390;2131;1292;5,4;9,6;170;0
2019-01;NTTH;HUAHINE;OM;10411;4025;3188;3118;2,9;5,2;274;0
2019-01;NTTM;MOOREA;OM;4514;2093;1126;1288;0;0,7;166;0
2019-01;NTTO;HAO;OM;1666;419;551;665;0,3;2,8;72;0
2019-01;NTTP;MAUPITI;OM;1773;1094;641;0;0;3,8;69;1
2019-01;NTTR;RAIATEA;OM;19018;8045;7361;3434;5,6;12,3;460;8
2019-01;NWWE;ILE DES PINS;OM;10769;5425;5114;0;3,7;19,3;226;0
2019-01;NWWL;LIFOU;OM;17753;8812;8424;0;9;42,7;508;1
2019-01;NWWM;NOUMEA MAGENTA;OM;42766;19591;21809;0;110,5;26;1098;2
2019-01;NWWR;MARE;OM;8164;4129;3717;0;7,4;24,4;272;0
2019-01;NWWV;OUVEA;OM;7973;3891;3813;0;5,1;21,7;264;0
2019-01;NWWW;NOUMEA LA TONTOUTA;OM;63004;30192;28986;0;93,1;289,5;428;1
2019-01;SOCA;CAYENNE-FELIX EBOUE;OM;48397;21394;24581;0;61;181,2;660;29
2019-01;SOOA;MARIPASOULA;OM;3529;1499;1349;442;0;23,9;356;23
2019-01;TFFF;MARTINIQUE-AIME CESAIRE;OM;222302;98874;108122;5173;212,5;800,8;1713;10
2019-01;TFFG;ST-MARTIN-GRAND-CASE;OM;15685;7589;7738;6;18,5;16,7;607;67
2019-01;TFFJ;ST-BARTHELEMY;OM;20091;10986;8814;0;10;19,1;3631;126
2019-01;TFFR;POINTE-A-PITRE-LE RAIZET;OM;262523;117729;129310;5389;213,6;795,9;2469;57
2019-01;ZZMT; AUTRES APT (MT);MT;6306;3099;2946;29;13,6;9,6;1505;10
2019-01;ZZOM; AUTRES APT (OM);OM;14791;5809;4253;4365;2,3;34,2;1275;14
2019-02;FMCZ;MAYOTTE-MARCEL HENRY;OM;25774;13349;9763;195;31,4;215,3;293;1
2019-02;FMEE;LA REUNION-ROLAND GARROS;OM;160406;63825;68313;2417;611,4;1973,7;886;18
2019-02;FMEP;ST-PIERRE-PIERREFONDS;OM;4698;2435;2259;0;0;0,4;124;0
2019-02;LFAQ;ALBERT-BRAY;MT;2231;139;133;0;128;67,9;49;19
2019-02;LFBD;BORDEAUX-MERIGNAC;MT;433075;214517;206311;2218;410;592,8;3888;121
2019-02;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;6493;3207;3286;0;0;0;74;0
2019-02;LFBH;LA ROCHELLE-ILE DE RE;MT;5872;2945;2927;0;0;0;162;0
2019-02;LFBI;POITIERS-BIARD;MT;7047;2612;2498;1937;0;0;218;0
2019-02;LFBL;LIMOGES-BELLEGARDE;MT;14671;7348;7323;0;0;0;182;0
2019-02;LFBO;TOULOUSE-BLAGNAC;MT;735911;348787;327045;1284;2140,7;3738,8;6080;474
2019-02;LFBP;PAU-PYRENEES;MT;65553;32579;32421;4;0;54,9;874;4
2019-02;LFBT;TARBES-LOURDES-PYRENEES;MT;16603;8156;8447;0;0;0;197;0
