ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;REGION
202201;FMCZ;MAYOTTE-MARCEL HENRY;OM;32276;12624;16817;0;24,4;259,1;254;1;Mayotte
202201;FMEE;LA REUNION-ROLAND GARROS;OM;186376;80473;81441;1354;734,8;1576;866;0;La Réunion
202201;LFAQ;ALBERT-BRAY;MT;1051;26;73;2;54,2;40,8;55;8;Hauts-de-France
202201;LFBD;BORDEAUX-MERIGNAC;MT;210767;101372;100220;420;313,6;561,9;1990;88;Nouvelle-Aquitaine
202201;LFBL;LIMOGES-BELLEGARDE;MT;2779;1611;1168;0;0;0;166;0;Nouvelle-Aquitaine
202201;LFBO;TOULOUSE-BLAGNAC;MT;347259;148521;145684;528;1948,7;3303,9;3398;422;Occitanie
202201;LFBP;PAU-PYRENEES;MT;22647;10555;10003;1;137;71,9;395;7;Nouvelle-Aquitaine
202201;LFBT;TARBES-LOURDES-PYRENEES;MT;6827;3507;3320;0;0;0;215;0;Occitanie
202201;LFBZ;BIARRITZ-PAYS-BASQUE;MT;33719;18439;15280;0;0;0;385;0;Nouvelle-Aquitaine
202201;LFCK;CASTRES-MAZAMET;MT;1622;874;748;0;0;0;75;0;Occitanie
202201;LFCR;RODEZ-AVEYRON;MT;1785;980;805;0;0;0;96;0;Occitanie
202201;LFGJ;DOLE-TAVAUX;MT;2388;1117;1271;0;0;0;20;0;Bourgogne-Franche-Comté
202201;LFKB;BASTIA-PORETTA;MT;54856;25478;23456;405;163;388,7;600;104;Corse
202201;LFKC;CALVI-STE-CATHERINE;MT;7693;4095;3596;0;0;0,2;198;0;Corse
202201;LFKF;FIGARI-SUD-CORSE;MT;13296;7119;6177;0;0;0;289;0;Corse
202201;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;52109;24873;22814;0;96;346,2;606;84;Corse
202201;LFLB;CHAMBERY-AIX-LES-BAINS;MT;7191;2533;4642;7;0,9;0;1124;0;Auvergne-Rhône-Alpes
202201;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;13534;5427;5379;0;272,8;0;330;8;Auvergne-Rhône-Alpes
202201;LFLJ;COURCHEVEL-MICHEL ZIEGLER;MT;2236;1021;1211;4;0;0;1394;0;Inconnue
202201;LFLL;LYON-ST-EXUPERY;MT;398268;172912;184538;1309;1978,3;1972,6;3854;312;Auvergne-Rhône-Alpes
202201;LFLS;GRENOBLE-ALPES-ISERE;MT;29196;12546;16638;12;0;0;643;0;Auvergne-Rhône-Alpes
202201;LFLW;AURILLAC;MT;1861;974;887;0;0;0;94;0;Auvergne-Rhône-Alpes
202201;LFLX;CHATEAUROUX-DEOLS;MT;3357;0;0;0;219,8;115,9;0;11;Centre-Val de Loire
202201;LFMK;CARCASSONNE-SALVAZA;MT;3517;1944;1573;0;0;0;44;0;Occitanie
202201;LFML;MARSEILLE-PROVENCE;MT;384083;167752;170128;3711;2192;2057,2;3986;566;Provence-Alpes-Côte d'Azur
202201;LFMN;NICE-COTE D'AZUR;MT;441459;221058;214826;1267;321,1;109,7;6258;35;Provence-Alpes-Côte d'Azur
202201;LFMP;PERPIGNAN-RIVESALTES;MT;14666;7610;7056;0;0;0;200;0;Occitanie
202201;LFMT;MONTPELLIER-MEDITERRANEE;MT;79651;37023;37323;1;300,2;230,2;765;82;Occitanie
202201;LFMU;BEZIERS-VIAS;MT;3891;2107;1784;0;0;0;41;0;Occitanie
202201;LFOB;BEAUVAIS-TILLE;MT;211015;100357;110612;46;0;0;1771;0;Hauts-de-France
202201;LFOK;CHALONS-VATRY;MT;37693;1197;1261;0;868,5;2655;26;111;Grand Est
202201;LFOT;TOURS-VAL DE LOIRE;MT;3198;1717;1481;0;0;0;36;0;Centre-Val de Loire
202201;LFPB;PARIS-LE BOURGET;MT;8386;4109;4277;0;0;0;3845;0;Île-de-France
202201;LFPG;PARIS-CHARLES DE GAULLE;MT;3732946;1344748;1376317;1089;53199,6;47879,6;21797;3160;Île-de-France
202201;LFPO;PARIS-ORLY;MT;1371382;630066;690776;129;3586,2;1454,9;10961;40;Île-de-France
202201;LFQQ;LILLE-LESQUIN;MT;65775;31794;33008;970;0,2;0,1;669;0;Hauts-de-France
202201;LFRB;BREST-BRETAGNE;MT;45799;23844;21848;61;1,3;3,3;642;0;Bretagne
202201;LFRK;CAEN-CARPIQUET;MT;6822;3415;3407;0;0;0;140;0;Normandie
202201;LFRN;RENNES-ST-JACQUES;MT;32231;12511;11968;0;307,4;467,8;316;110;Bretagne
202201;LFRS;NANTES-ATLANTIQUE;MT;212476;102217;99398;365;500,2;549,5;1838;84;Pays de la Loire
202201;LFRZ;ST-NAZAIRE-MONTOIR;MT;15869;33;33;18;974,5;604;10;70;Pays de la Loire
202201;LFSB;BALE-MULHOUSE;MT;300817;103881;143144;321;3135;2212,2;2671;458;Grand Est
202201;LFSL;BRIVE-SOUILLAC;MT;1715;893;822;0;0;0;96;0;Nouvelle-Aquitaine
202201;LFST;STRASBOURG-ENTZHEIM;MT;31046;15072;15901;73;0;0;537;0;Grand Est
202201;LFTH;TOULON-HYERES;MT;19312;10180;9132;0;0;0;350;0;Provence-Alpes-Côte d'Azur
202201;LFTW;NIMES-GARONS;MT;4173;2220;1953;0;0;0;47;0;Occitanie
202201;LFVP;ST-PIERRE-POINTE BLANCHE;OM;1269;531;564;0;2,1;15,3;174;2;Saint-Pierre-et-Miquelon
202201;NLWW;WALLIS-HIHIFO;OM;1537;770;694;0;2,7;4,6;90;2;Wallis-et-Futuna
202201;NTAA;TAHITI FAA'A;OM;48337;19001;27246;0;137,8;71,2;1146;79;Polynésie française
202201;NTAR;RURUTU;OM;2219;1133;643;395;0,6;4,2;50;0;Polynésie française
202201;NTAT;TUBUAI MATAURA;OM;2138;955;660;487;0,2;3,4;54;0;Polynésie française
202201;NTGC;TIKEHAU;OM;2818;1092;810;868;0,4;4,4;92;0;Polynésie française
202201;NTGF;FAKARAVA;OM;2238;1157;795;248;-0,1;3,9;56;0;Polynésie française
202201;NTGM;MAKEMO;OM;1001;343;286;343;0,2;2,8;30;0;Polynésie française
202201;NTMD;NUKU HIVA;OM;3221;1594;1039;543;0,1;4,4;74;0;Polynésie française
202201;NTMN;HIVA OA-ATUONA;OM;2927;1133;1008;744;0,2;4;75;0;Polynésie française
202201;NTTB;BORA BORA;OM;15460;7383;6243;1715;2,9;9;454;44;Polynésie française
202201;NTTG;RANGIROA;OM;6398;2562;2084;1611;5,3;8,8;208;47;Polynésie française
202201;NTTH;HUAHINE;OM;8418;3313;2468;2569;2,4;4,4;274;0;Polynésie française
202201;NTTM;MOOREA;OM;1745;863;306;572;0;0,4;76;0;Polynésie française
202201;NTTO;HAO;OM;1593;416;438;718;0,1;2;52;0;Polynésie française
202201;NTTP;MAUPITI;OM;1579;921;601;30;0;2,7;67;1;Polynésie française
202201;NTTR;RAIATEA;OM;15137;6867;6112;1995;4,7;11,6;409;27;Polynésie française
202201;NWWE;ILE DES PINS;OM;6556;3125;3304;0;3,2;9,5;128;0;Nouvelle-Calédonie
202201;NWWL;LIFOU;OM;11282;5658;5274;0;8,9;26,1;328;4;Nouvelle-Calédonie
202201;NWWM;NOUMEA MAGENTA;OM;27714;12978;13893;0;62,8;21,5;639;10;Nouvelle-Calédonie
202201;NWWR;MARE;OM;4957;2513;2268;0;5,4;12,2;181;3;Nouvelle-Calédonie
202201;NWWV;OUVEA;OM;5459;2567;2721;0;3,9;13,1;163;0;Nouvelle-Calédonie
202201;NWWW;NOUMEA LA TONTOUTA;OM;16435;5337;6980;16;89,7;320,5;120;18;Nouvelle-Calédonie
202201;SOCA;CAYENNE-FELIX EBOUE;OM;35509;16275;17519;0;46,8;124,8;453;25;Guyane
202201;SOOA;MARIPASOULA;OM;2924;1310;1161;298;0;15,5;246;13;Guyane
202201;TFFF;MARTINIQUE-AIME CESAIRE;OM;147255;66302;69177;2504;236,6;690,7;1120;73;Martinique
202201;TFFG;ST-MARTIN-GRAND-CASE;OM;11733;6036;5319;2;18,6;19,1;522;40;Saint-Martin
202201;TFFJ;ST-BARTHELEMY;OM;22152;12310;9505;16;10,8;21,3;4386;81;Saint-Barthélemy
202201;TFFR;GUADELOUPE-MARYSE CONDE;OM;169954;78071;80455;3380;127;677,9;1941;37;Inconnue
202201;ZZMT; AUTRES APT (MT);MT;9103;4507;4054;497;3,3;1,3;1883;2;Inconnue
202201;ZZOM; AUTRES APT (OM);OM;15567;6643;4293;4223;3;38,6;998;77;Inconnue
202202;FMCZ;MAYOTTE-MARCEL HENRY;OM;22159;11086;8423;360;30,5;198,6;181;3;Mayotte
202202;FMEE;LA REUNION-ROLAND GARROS;OM;133458;51198;54588;2407;647,4;1879,2;569;18;La Réunion
202202;LFAQ;ALBERT-BRAY;MT;1212;188;199;8;54,1;27,6;58;9;Hauts-de-France
202202;LFBD;BORDEAUX-MERIGNAC;MT;290612;143008;138484;1294;309,4;473,2;2397;82;Nouvelle-Aquitaine
202202;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;2881;1367;1514;0;0;0;36;0;Nouvelle-Aquitaine
202202;LFBH;LA ROCHELLE-ILE DE RE;MT;2174;1115;1048;0;1,1;0;57;1;Nouvelle-Aquitaine
202202;LFBI;POITIERS-BIARD;MT;3021;1285;1329;407;0;0;92;0;Nouvelle-Aquitaine
202202;LFBL;LIMOGES-BELLEGARDE;MT;5982;3004;2978;0;0;0;112;0;Nouvelle-Aquitaine
202202;LFBO;TOULOUSE-BLAGNAC;MT;453278;210698;195154;370;1810;2895,6;3749;389;Occitanie
202202;LFBP;PAU-PYRENEES;MT;24123;11584;12036;5;22,7;27,1;388;3;Nouvelle-Aquitaine
202202;LFBT;TARBES-LOURDES-PYRENEES;MT;13242;6681;6561;0;0;0;241;0;Occitanie
202202;LFBZ;BIARRITZ-PAYS-BASQUE;MT;43346;21506;21840;0;0;0;428;0;Nouvelle-Aquitaine
202202;LFCK;CASTRES-MAZAMET;MT;2373;1278;1095;0;0;0;77;0;Occitanie
202202;LFCR;RODEZ-AVEYRON;MT;2336;1177;1155;4;0;0;102;0;Occitanie
202202;LFGJ;DOLE-TAVAUX;MT;5760;3233;2527;0;0;0;46;0;Bourgogne-Franche-Comté
202202;LFJL;METZ-NANCY-LORRAINE;MT;1188;640;548;0;0;0;32;0;Grand Est
202202;LFKB;BASTIA-PORETTA;MT;55067;25673;23964;187;165,1;359,2;551;97;Corse
202202;LFKC;CALVI-STE-CATHERINE;MT;9020;4651;4364;0;0;0,5;178;0;Corse
202202;LFKF;FIGARI-SUD-CORSE;MT;13892;7110;6782;0;0;0;282;0;Corse
202202;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;53685;25120;24177;38;95;339,9;505;82;Corse
202202;LFLB;CHAMBERY-AIX-LES-BAINS;MT;34487;17270;17046;12;15,9;0;1392;0;Auvergne-Rhône-Alpes
202202;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;15255;6399;6067;3;278,6;0;374;9;Auvergne-Rhône-Alpes
202202;LFLJ;COURCHEVEL-MICHEL ZIEGLER;MT;2785;1242;1543;0;0;0;1690;0;Inconnue
202202;LFLL;LYON-ST-EXUPERY;MT;520621;242135;233997;1862;2264,7;1998,1;4470;297;Auvergne-Rhône-Alpes
202202;LFLS;GRENOBLE-ALPES-ISERE;MT;50851;26001;24827;23;0;0;983;0;Auvergne-Rhône-Alpes
202202;LFLW;AURILLAC;MT;2363;1129;1234;0;0;0;87;0;Auvergne-Rhône-Alpes
202202;LFLX;CHATEAUROUX-DEOLS;MT;1749;175;175;0;83,4;56,5;2;3;Centre-Val de Loire
202202;LFLY;LYON-BRON;MT;1020;462;550;8;0;0;251;0;Auvergne-Rhône-Alpes
202202;LFMK;CARCASSONNE-SALVAZA;MT;10019;4960;5059;0;0;0;94;0;Occitanie
202202;LFML;MARSEILLE-PROVENCE;MT;510404;235378;230143;3909;2138,1;1959,3;4544;540;Provence-Alpes-Côte d'Azur
202202;LFMN;NICE-COTE D'AZUR;MT;577254;277555;292514;920;478;148,6;7006;32;Provence-Alpes-Côte d'Azur
202202;LFMP;PERPIGNAN-RIVESALTES;MT;19459;9891;9568;0;0;0;218;0;Occitanie
202202;LFMT;MONTPELLIER-MEDITERRANEE;MT;106314;53308;47887;66;292,5;212,8;952;80;Occitanie
202202;LFMU;BEZIERS-VIAS;MT;8479;4160;4319;0;0;0;67;0;Occitanie
202202;LFOB;BEAUVAIS-TILLE;MT;263205;137044;126138;23;0;0;1814;0;Hauts-de-France
202202;LFOK;CHALONS-VATRY;MT;27258;2127;2094;0;1102,4;1201,3;38;78;Grand Est
202202;LFOT;TOURS-VAL DE LOIRE;MT;9603;5021;4582;0;0;0;85;0;Centre-Val de Loire
202202;LFPB;PARIS-LE BOURGET;MT;9958;4981;4977;0;0;0;4159;0;Île-de-France
202202;LFPG;PARIS-CHARLES DE GAULLE;MT;4103071;1505074;1426008;1504;62235,5;54813;20502;3050;Île-de-France
202202;LFPO;PARIS-ORLY;MT;1668844;842414;769578;206;3707;1957,7;11737;15;Île-de-France
202202;LFQQ;LILLE-LESQUIN;MT;85937;43251;41928;758;0;0;820;0;Hauts-de-France
202202;LFRB;BREST-BRETAGNE;MT;51853;25421;26022;349;3,5;2,6;767;4;Bretagne
202202;LFRK;CAEN-CARPIQUET;MT;15832;8038;7794;0;0;0;208;0;Normandie
